"T00001","R","03-10-2000","B0003",0,240,240,.9
"T00002","R","03-10-2000","B0001",0,2400,2400,.99
"T00003","R","03-10-2000","B0002",0,1200,1200,3.15
"T00004","R","03-10-2000","L0002",0,360,360,39.55
"T00005","S","03-10-2000","B0001",2400,1200,1200,.99
"T00006","Z00001","03-10-2000","L0002",360,1,359,39.55
"T00007","Z00001","03-10-2000","B0003",240,12,228,.9
"T00008","R","03-10-2000","W0002",0,240,240,14.15
"T00009","Z00002","03-10-2000","W0002",240,10,230,14.15
"T00010","R","03-10-2000","B0004",0,240,240,3.05
"T00011","R","03-10-2000","B0005",0,2400,2400,1.15
"T00012","R","03-10-2000","B0006",0,3600,3600,1.05
"T00013","R","03-10-2000","B0007",0,480,480,3.25
"T00014","R","03-10-2000","A0001",0,24,24,12.99
"T00015","R","03-10-2000","L0004",0,750,750,22.3
"T00016","R","03-10-2000","L0003",0,480,480,21.8
"T00017","R","03-10-2000","L0006",0,120,120,18
"T00018","R","03-10-2000","L0001",0,48,48,46.1
"T00019","R","03-10-2000","L0007",0,120,120,25.5
"T00020","R","03-10-2000","W0010",0,480,480,21.85
"T00021","R","03-10-2000","W0008",0,360,360,21.65
"T00022","R","03-10-2000","W0002",230,24,254,14.15
"T00023","R","03-10-2000","W0007",0,250,250,23.05
"T00024","R","03-10-2000","W0004",0,10,10,1255.45
"T00025","Z00003","03-10-2000","L0003",480,10,470,21.8
"T00026","Z00003","03-10-2000","L0001",48,6,42,46.1
"T00027","Z00003","03-10-2000","B0004",240,12,228,3.05
"T00028","Z00003","03-10-2000","B0002",1200,24,1176,3.15
"T00029","Z00003","03-10-2000","W0008",360,12,348,21.65
"T00030","Z00003","03-10-2000","L0007",120,10,110,25.5
"T00031","Z00003","03-10-2000","L0004",750,2,748,22.3
"T00032","Z00003","03-10-2000","W0007",250,12,238,23.05
"T00033","Z00003","03-10-2000","W0004",10,1,9,1255.45
"T00034","R","06/28/2003","B0005",2400,500,2900,1.15
"T00035","Z00004","06/28/2003","B0002",1176,50,1126,3.15
"T00036","Z00004","06/28/2003","L0001",42,20,22,46.1
"T00037","Z00005","05/30/2018","B0002",1126,12,1114,3.15
"T00037","R","06/03/2018","W0005",0,50,50,28.25
"T00038","R","06/03/2018","W0001",0,25,25,12.85
"T00039","R","06/03/2018","W0003",0,250,250,81.55
"T00040","R","06/03/2018","W0004",9,25,34,1255.45
"T00041","R","06/03/2018","W0009",0,180,180,30.75
"T00042","R","06/03/2018","W0006",0,200,200,23.15
"T00043","R","06/03/2018","L0008",0,150,150,19.95
"T00044","R","06/03/2018","L0005",0,150,150,37.65
